Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990_total,1995_total,2000_total,2005_total,2010_total,2015_total,2020_total,2024_total,1990_males,1995_males,2000_males,2005_males,2010_males,2015_males,2020_males,2024_males,1990_females,1995_females,2000_females,2005_females,2010_females,2015_females,2020_females,2024_females
13539,Qatar,,C,634,Lebanon,422,656,880,1158,753,1228,2195,2051,2223,656,880,1158,753,1228,2195,2051,2223,656,880,1158,753,1228,2195,2051,2223
13540,Qatar,,C,634,Saudi Arabia,682,4067,5576,7610,2175,216,233,216,234,4067,5576,7610,2175,216,233,216,234,4067,5576,7610,2175,216,233,216,234
13541,Qatar,,C,634,State of Palestine,275,2029,2623,3346,1494,1517,1484,1386,1503,2029,2623,3346,1494,1517,1484,1386,1503,2029,2623,3346,1494,1517,1484,1386,1503
13542,Qatar,,C,634,Syrian Arab Republic,760,111,148,192,717,1820,1896,6024,6530,111,148,192,717,1820,1896,6024,6530,111,148,192,717,1820,1896,6024,6530
13543,Qatar,,C,634,Türkiye,792,487,648,846,700,1309,1338,1249,1354,487,648,846,700,1309,1338,1249,1354,487,648,846,700,1309,1338,1249,1354
13544,Qatar,,C,634,United Arab Emirates,784,10407,12735,15228,5658,3732,3578,3147,3398,10407,12735,15228,5658,3732,3578,3147,3398,10407,12735,15228,5658,3732,3578,3147,3398
13545,Qatar,,C,634,Yemen,887,2214,2951,3856,3583,7036,9253,8648,9376,2214,2951,3856,3583,7036,9253,8648,9376,2214,2951,3856,3583,7036,9253,8648,9376
13548,Qatar,,C,634,United Kingdom*,826,850,912,903,661,1080,1096,1785,1933,850,912,903,661,1080,1096,1785,1933,850,912,903,661,1080,1096,1785,1933
13550,Qatar,,C,634,France*,250,34,71,132,167,334,324,298,322,34,71,132,167,334,324,298,322,34,71,132,167,334,324,298,322
13551,Qatar,,C,634,Netherlands*,528,86,114,148,85,125,141,129,140,86,114,148,85,125,141,129,140,86,114,148,85,125,141,129,140
13553,Qatar,,C,634,United States of America*,840,170,226,295,262,505,606,1049,1138,170,226,295,262,505,606,1049,1138,170,226,295,262,505,606,1049,1138
13574,Saudi Arabia,,C R,682,Ethiopia,231,9892,14678,16612,21638,48862,112229,116218,130623,9892,14678,16612,21638,48862,112229,116218,130623,9892,14678,16612,21638,48862,112229,116218,130623
13575,Saudi Arabia,,C R,682,Somalia,706,8196,9675,10962,12852,17207,23183,23122,24090,8196,9675,10962,12852,17207,23183,23122,24090,8196,9675,10962,12852,17207,23183,23122,24090
13577,Saudi Arabia,,C R,682,Egypt,818,161881,178877,204164,232281,261479,295184,292758,296243,161881,178877,204164,232281,261479,295184,292758,296243,161881,178877,204164,232281,261479,295184,292758,296243
13578,Saudi Arabia,,C R,682,Sudan,729,24509,32664,37248,46348,81099,143536,147148,159874,24509,32664,37248,46348,81099,143536,147148,159874,24509,32664,37248,46348,81099,143536,147148,159874
13581,Saudi Arabia,,C R,682,Afghanistan,4,2226,3480,3938,5278,13715,36363,38031,43625,2226,3480,3938,5278,13715,36363,38031,43625,2226,3480,3938,5278,13715,36363,38031,43625
13582,Saudi Arabia,,C R,682,Bangladesh,50,17270,24827,28624,37107,76107,158368,166325,185831,17270,24827,28624,37107,76107,158368,166325,185831,17270,24827,28624,37107,76107,158368,166325,185831
13583,Saudi Arabia,,C R,682,India,356,69995,80878,93115,109006,136290,171196,172908,179070,69995,80878,93115,109006,136290,171196,172908,179070,69995,80878,93115,109006,136290,171196,172908,179070
13584,Saudi Arabia,,C R,682,Nepal,524,64,111,139,222,890,3667,4466,4705,64,111,139,222,890,3667,4466,4705,64,111,139,222,890,3667,4466,4705
13585,Saudi Arabia,,C R,682,Pakistan,586,41426,51852,59641,72419,108644,164325,168158,179308,41426,51852,59641,72419,108644,164325,168158,179308,41426,51852,59641,72419,108644,164325,168158,179308
13586,Saudi Arabia,,C R,682,Sri Lanka,144,44971,43100,49012,52268,43516,36217,34834,33880,44971,43100,49012,52268,43516,36217,34834,33880,44971,43100,49012,52268,43516,36217,34834,33880
13588,Saudi Arabia,,C R,682,Indonesia,360,227876,209076,237755,248648,187918,141739,135332,129791,227876,209076,237755,248648,187918,141739,135332,129791,227876,209076,237755,248648,187918,141739,135332,129791
13589,Saudi Arabia,,C R,682,Myanmar,104,77101,76464,75833,75207,74587,76004,74606,73657,77101,76464,75833,75207,74587,76004,74606,73657,77101,76464,75833,75207,74587,76004,74606,73657
13590,Saudi Arabia,,C R,682,Philippines,608,189079,219286,248758,288230,362733,458829,456026,470137,189079,219286,248758,288230,362733,458829,456026,470137,189079,219286,248758,288230,362733,458829,456026,470137
13592,Saudi Arabia,,C R,682,Iraq,368,3423,8534,5171,3556,3458,3451,3486,3452,3423,8534,5171,3556,3458,3451,3486,3452,3423,8534,5171,3556,3458,3451,3486,3452
13593,Saudi Arabia,,C R,682,Jordan,400,48694,54176,61434,69859,80406,92863,91595,92838,48694,54176,61434,69859,80406,92863,91595,92838,48694,54176,61434,69859,80406,92863,91595,92838
13594,Saudi Arabia,,C R,682,Lebanon,422,14851,15650,17767,19724,20197,20698,20239,20071,14851,15650,17767,19724,20197,20698,20239,20071,14851,15650,17767,19724,20197,20698,20239,20071
13595,Saudi Arabia,,C R,682,State of Palestine,275,37078,41306,46838,131920,57798,63486,62465,62676,37078,41306,46838,131920,57798,63486,62465,62676,37078,41306,46838,131920,57798,63486,62465,62676
13596,Saudi Arabia,,C R,682,Syrian Arab Republic,760,31089,42132,47804,59364,104955,187745,193757,209828,31089,42132,47804,59364,104955,187745,193757,209828,31089,42132,47804,59364,104955,187745,193757,209828
13597,Saudi Arabia,,C R,682,Yemen,887,61061,84772,96385,122036,235312,459903,473289,520892,61061,84772,96385,122036,235312,459903,473289,520892,61061,84772,96385,122036,235312,459903,473289,520892
13616,State of Palestine,9,B,275,Egypt,818,9917,9744,9562,9515,9468,9439,9413,9403,9917,9744,9562,9515,9468,9439,9413,9403,9917,9744,9562,9515,9468,9439,9413,9403
13617,State of Palestine,9,B,275,Tunisia,788,472,463,455,452,449,446,444,443,472,463,455,452,449,446,444,443,472,463,455,452,449,446,444,443
13620,State of Palestine,9,B,275,Bahrain,48,4287,4210,4134,4113,4092,4072,4060,4055,4287,4210,4134,4113,4092,4072,4060,4055,4287,4210,4134,4113,4092,4072,4060,4055
13621,State of Palestine,9,B,275,Israel,376,55644,54649,53655,45860,36969,36544,36594,36552,55644,54649,53655,45860,36969,36544,36594,36552,55644,54649,53655,45860,36969,36544,36594,36552
13622,State of Palestine,9,B,275,Jordan,400,30251,29710,29170,33607,37666,37482,37379,37338,30251,29710,29170,33607,37666,37482,37379,37338,30251,29710,29170,33607,37666,37482,37379,37338
13623,State of Palestine,9,B,275,Kuwait,414,8574,8421,8268,8227,9299,9283,9257,9247,8574,8421,8268,8227,9299,9283,9257,9247,8574,8421,8268,8227,9299,9283,9257,9247
13624,State of Palestine,9,B,275,Lebanon,422,1217,1195,1173,1167,1161,1155,1151,1150,1217,1195,1173,1167,1161,1155,1151,1150,1217,1195,1173,1167,1161,1155,1151,1150
13625,State of Palestine,9,B,275,Oman,512,4677,4593,4510,5429,5410,6173,6056,6049,4677,4593,4510,5429,5410,6173,6056,6049,4677,4593,4510,5429,5410,6173,6056,6049
13626,State of Palestine,9,B,275,Qatar,634,5067,4976,4885,4861,4837,4813,4799,4794,5067,4976,4885,4861,4837,4813,4799,4794,5067,4976,4885,4861,4837,4813,4799,4794
13627,State of Palestine,9,B,275,Saudi Arabia,682,10913,10718,10523,10050,12573,12696,12611,12597,10913,10718,10523,10050,12573,12696,12611,12597,10913,10718,10523,10050,12573,12696,12611,12597
13628,State of Palestine,9,B,275,Syrian Arab Republic,760,2843,2792,2742,3321,3110,3117,3108,3105,2843,2792,2742,3321,3110,3117,3108,3105,2843,2792,2742,3321,3110,3117,3108,3105
13629,State of Palestine,9,B,275,United Arab Emirates,784,5456,5358,5261,7082,7183,7147,7227,7219,5456,5358,5261,7082,7183,7147,7227,7219,5456,5358,5261,7082,7183,7147,7227,7219
13630,State of Palestine,9,B,275,Yemen,887,722,709,696,692,688,684,682,681,722,709,696,692,688,684,682,681,722,709,696,692,688,684,682,681
13632,State of Palestine,9,B,275,United States of America*,840,4393,4314,4236,4215,4194,4193,4131,4126,4393,4314,4236,4215,4194,4193,4131,4126,4393,4314,4236,4215,4194,4193,4131,4126
13651,Syrian Arab Republic,,C R,760,Somalia,706,98,170,219,712,1518,495,527,544,98,170,219,712,1518,495,527,544,98,170,219,712,1518,495,527,544
13653,Syrian Arab Republic,,C R,760,Sudan,729,..,24,45,109,264,96,101,104,..,24,45,109,264,96,101,104,..,24,45,109,264,96,101,104
13656,Syrian Arab Republic,,C R,760,Afghanistan,4,..,45,85,308,1277,708,558,576,..,45,85,308,1277,708,558,576,..,45,85,308,1277,708,558,576
13658,Syrian Arab Republic,,C R,760,Iraq,368,1893,1508,905,164991,544212,95643,102165,105379,1893,1508,905,164991,544212,95643,102165,105379,1893,1508,905,164991,544212,95643,102165,105379
13659,Syrian Arab Republic,,C R,760,State of Palestine,275,119495,143635,188747,216877,243742,281901,301137,310611,119495,143635,188747,216877,243742,281901,301137,310611,119495,143635,188747,216877,243742,281901,301137,310611
13683,Türkiye,,B R,792,Somalia,706,3,3,3,453,932,1403,7941,13774,3,3,3,453,932,1403,7941,13774,3,3,3,453,932,1403,7941,13774
13685,Türkiye,,B R,792,Algeria,12,178,178,178,350,533,794,5115,10616,178,178,178,350,533,794,5115,10616,178,178,178,350,533,794,5115,10616
13686,Türkiye,,B R,792,Egypt,818,1025,682,339,689,1084,1768,11676,19671,1025,682,339,689,1084,1768,11676,19671,1025,682,339,689,1084,1768,11676,19671
13687,Türkiye,,B R,792,Libya,434,1324,1324,1324,2200,3132,5494,10470,13903,1324,1324,1324,2200,3132,5494,10470,13903,1324,1324,1324,2200,3132,5494,10470,13903
13688,Türkiye,,B R,792,Morocco,504,189,189,189,891,1638,2743,11874,21200,189,189,189,891,1638,2743,11874,21200,189,189,189,891,1638,2743,11874,21200
13689,Türkiye,,B R,792,Sudan,729,511,511,511,511,511,511,1392,6843,511,511,511,511,511,511,1392,6843,511,511,511,511,511,511,1392,6843
13691,Türkiye,,B R,792,Nigeria,566,40,40,40,211,392,575,1435,3352,40,40,40,211,392,575,1435,3352,40,40,40,211,392,575,1435,3352
13694,Türkiye,,B R,792,Kazakhstan,398,2762,2762,2762,5666,8760,12328,23203,49394,2762,2762,2762,5666,8760,12328,23203,49394,2762,2762,2762,5666,8760,12328,23203,49394
13695,Türkiye,,B R,792,Kyrgyzstan,417,763,763,763,3390,6189,10143,21649,29765,763,763,763,3390,6189,10143,21649,29765,763,763,763,3390,6189,10143,21649,29765
13696,Türkiye,,B R,792,Tajikistan,762,65,65,65,426,809,1194,2671,5893,65,65,65,426,809,1194,2671,5893,65,65,65,426,809,1194,2671,5893
13697,Türkiye,,B R,792,Turkmenistan,795,569,569,569,4361,8400,13798,55293,63894,569,569,569,4361,8400,13798,55293,63894,569,569,569,4361,8400,13798,55293,63894
13698,Türkiye,,B R,792,Uzbekistan,860,4100,4100,4100,8815,13838,20714,48332,81466,4100,4100,4100,8815,13838,20714,48332,81466,4100,4100,4100,8815,13838,20714,48332,81466
13700,Türkiye,,B R,792,China,156,884,884,884,1923,3028,4529,9992,13037,884,884,884,1923,3028,4529,9992,13037,884,884,884,1923,3028,4529,9992,13037
13702,Türkiye,,B R,792,Afghanistan,4,3577,4523,4157,7621,12332,42713,118368,144948,3577,4523,4157,7621,12332,42713,118368,144948,3577,4523,4157,7621,12332,42713,118368,144948
13703,Türkiye,,B R,792,Iran (Islamic Republic of),364,4328,5232,6069,9358,12745,23339,59906,103179,4328,5232,6069,9358,12745,23339,59906,103179,4328,5232,6069,9358,12745,23339,59906,103179
13704,Türkiye,,B R,792,Pakistan,586,457,457,457,556,660,873,3161,9705,457,457,457,556,660,873,3161,9705,457,457,457,556,660,873,3161,9705
13706,Türkiye,,B R,792,Indonesia,360,117,117,117,719,1362,2161,4300,10288,117,117,117,719,1362,2161,4300,10288,117,117,117,719,1362,2161,4300,10288
13708,Türkiye,,B R,792,Azerbaijan,31,8126,8126,8126,14160,20587,28203,53954,70938,8126,8126,8126,14160,20587,28203,53954,70938,8126,8126,8126,14160,20587,28203,53954,70938
13709,Türkiye,,B R,792,Cyprus,196,4750,5159,5567,7082,8669,10352,13591,16185,4750,5159,5567,7082,8669,10352,13591,16185,4750,5159,5567,7082,8669,10352,13591,16185
13710,Türkiye,,B R,792,Georgia,268,3757,3757,3757,9254,15110,20742,21701,18124,3757,3757,3757,9254,15110,20742,21701,18124,3757,3757,3757,9254,15110,20742,21701,18124
13711,Türkiye,,B R,792,Iraq,368,13592,9674,4543,10648,19124,72853,221086,197018,13592,9674,4543,10648,19124,72853,221086,197018,13592,9674,4543,10648,19124,72853,221086,197018
13712,Türkiye,,B R,792,Jordan,400,325,325,325,484,653,925,6315,10842,325,325,325,484,653,925,6315,10842,325,325,325,484,653,925,6315,10842
13713,Türkiye,,B R,792,Kuwait,414,101,101,101,258,424,591,3807,6661,101,101,101,258,424,591,3807,6661,101,101,101,258,424,591,3807,6661
13714,Türkiye,,B R,792,Lebanon,422,569,569,569,851,1149,1478,4289,11873,569,569,569,851,1149,1478,4289,11873,569,569,569,851,1149,1478,4289,11873
13715,Türkiye,,B R,792,Saudi Arabia,682,1567,1818,2068,3369,4739,6367,23667,29297,1567,1818,2068,3369,4739,6367,23667,29297,1567,1818,2068,3369,4739,6367,23667,29297
13716,Türkiye,,B R,792,State of Palestine,275,124,124,124,251,385,559,4844,9333,124,124,124,251,385,559,4844,9333,124,124,124,251,385,559,4844,9333
13717,Türkiye,,B R,792,Syrian Arab Republic,760,2496,2667,2798,11865,21528,882298,1761534,1708374,2496,2667,2798,11865,21528,882298,1761534,1708374,2496,2667,2798,11865,21528,882298,1761534,1708374
13718,Türkiye,,B R,792,United Arab Emirates,784,1629,847,65,361,729,1096,3489,6119,1629,847,65,361,729,1096,3489,6119,1629,847,65,361,729,1096,3489,6119
13719,Türkiye,,B R,792,Yemen,887,28,28,28,314,619,924,5009,9012,28,28,28,314,619,924,5009,9012,28,28,28,314,619,924,5009,9012
13722,Türkiye,,B R,792,Bulgaria,100,237447,244728,252009,236645,219806,203974,197502,191637,237447,244728,252009,236645,219806,203974,197502,191637,237447,244728,252009,236645,219806,203974,197502,191637
13723,Türkiye,,B R,792,Republic of Moldova*,498,1967,1967,1967,4607,7421,10682,12543,14418,1967,1967,1967,4607,7421,10682,12543,14418,1967,1967,1967,4607,7421,10682,12543,14418
13724,Türkiye,,B R,792,Romania,642,12356,12356,12356,10464,8448,6680,7177,8884,12356,12356,12356,10464,8448,6680,7177,8884,12356,12356,12356,10464,8448,6680,7177,8884
13725,Türkiye,,B R,792,Russian Federation,643,4882,8380,11878,15051,18204,22575,40651,103717,4882,8380,11878,15051,18204,22575,40651,103717,4882,8380,11878,15051,18204,22575,40651,103717
13726,Türkiye,,B R,792,Ukraine*,804,2925,2925,2925,6341,9980,14956,23181,52000,2925,2925,2925,6341,9980,14956,23181,52000,2925,2925,2925,6341,9980,14956,23181,52000
13728,Türkiye,,B R,792,United Kingdom*,826,3138,6519,9900,12562,15178,17491,18574,22054,3138,6519,9900,12562,15178,17491,18574,22054,3138,6519,9900,12562,15178,17491,18574,22054
13730,Türkiye,,B R,792,Greece,300,54626,43771,32914,26421,20212,14594,16325,17220,54626,43771,32914,26421,20212,14594,16325,17220,54626,43771,32914,26421,20212,14594,16325,17220
13731,Türkiye,,B R,792,North Macedonia,807,74924,74924,74924,57980,39932,23476,21206,19936,74924,74924,74924,57980,39932,23476,21206,19936,74924,74924,74924,57980,39932,23476,21206,19936
13733,Türkiye,,B R,792,Austria,40,3428,5268,7108,7740,8293,9153,12930,15888,3428,5268,7108,7740,8293,9153,12930,15888,3428,5268,7108,7740,8293,9153,12930,15888
13734,Türkiye,,B R,792,Belgium,56,2350,3445,4540,7994,11603,14545,16573,21349,2350,3445,4540,7994,11603,14545,16573,21349,2350,3445,4540,7994,11603,14545,16573,21349
13735,Türkiye,,B R,792,France*,250,4951,6509,8066,10168,12307,14324,19556,26829,4951,6509,8066,10168,12307,14324,19556,26829,4951,6509,8066,10168,12307,14324,19556,26829
13736,Türkiye,,B R,792,Germany,276,86704,112851,138997,139130,137567,137513,160686,190368,86704,112851,138997,139130,137567,137513,160686,190368,86704,112851,138997,139130,137567,137513,160686,190368
13737,Türkiye,,B R,792,Netherlands*,528,4834,7854,10874,13035,15140,17166,20135,24537,4834,7854,10874,13035,15140,17166,20135,24537,4834,7854,10874,13035,15140,17166,20135,24537
13738,Türkiye,,B R,792,Switzerland,756,4050,4720,5391,6004,6614,7152,8061,9123,4050,4720,5391,6004,6614,7152,8061,9123,4050,4720,5391,6004,6614,7152,8061,9123
13740,Türkiye,,B R,792,United States of America*,840,5144,5616,6087,7930,9863,11825,13444,16689,5144,5616,6087,7930,9863,11825,13444,16689,5144,5616,6087,7930,9863,11825,13444,16689
13764,United Arab Emirates,,C,784,Eritrea,232,1128,1380,1711,2294,4287,5592,5860,6709,1128,1380,1711,2294,4287,5592,5860,6709,1128,1380,1711,2294,4287,5592,5860,6709
13765,United Arab Emirates,,C,784,Ethiopia,231,794,972,1205,1392,2449,3194,3347,3832,794,972,1205,1392,2449,3194,3347,3832,794,972,1205,1392,2449,3194,3347,3832
13766,United Arab Emirates,,C,784,Somalia,706,757,925,1147,1258,2158,2814,2949,3377,757,925,1147,1258,2158,2814,2949,3377,757,925,1147,1258,2158,2814,2949,3377
13767,United Arab Emirates,,C,784,South Sudan,728,1515,1818,2225,2346,3860,5035,5276,6035,1515,1818,2225,2346,3860,5035,5276,6035,1515,1818,2225,2346,3860,5035,5276,6035
13769,United Arab Emirates,,C,784,Chad,148,312,381,473,635,1183,1543,1616,1852,312,381,473,635,1183,1543,1616,1852,312,381,473,635,1183,1543,1616,1852
13771,United Arab Emirates,,C,784,Egypt,818,63062,69873,80931,112105,209369,273089,286258,327579,63062,69873,80931,112105,209369,273089,286258,327579,63062,69873,80931,112105,209369,273089,286258,327579
13772,United Arab Emirates,,C,784,Morocco,504,572,698,866,1088,1982,2585,2709,3102,572,698,866,1088,1982,2585,2709,3102,572,698,866,1088,1982,2585,2709,3102
13773,United Arab Emirates,,C,784,Sudan,729,12303,14769,18079,19437,32297,42127,44157,50506,12303,14769,18079,19437,32297,42127,44157,50506,12303,14769,18079,19437,32297,42127,44157,50506
13774,United Arab Emirates,,C,784,Tunisia,788,344,420,522,697,1302,1698,1778,2036,344,420,522,697,1302,1698,1778,2036,344,420,522,697,1302,1698,1778,2036
13776,United Arab Emirates,,C,784,Nigeria,566,415,509,630,1589,3482,4541,4758,5449,415,509,630,1589,3482,4541,4758,5449,415,509,630,1589,3482,4541,4758,5449
13779,United Arab Emirates,,C,784,Afghanistan,4,478,584,725,972,1816,2368,2481,2841,478,584,725,972,1816,2368,2481,2841,478,584,725,972,1816,2368,2481,2841
13780,United Arab Emirates,,C,784,Bangladesh,50,16842,31338,47104,57211,133153,173534,181934,210615,16842,31338,47104,57211,133153,173534,181934,210615,16842,31338,47104,57211,133153,173534,181934,210615
13781,United Arab Emirates,,C,784,India,356,107404,159801,220042,303867,616528,803937,842771,968227,107404,159801,220042,303867,616528,803937,842771,968227,107404,159801,220042,303867,616528,803937,842771,968227
13782,United Arab Emirates,,C,784,Nepal,524,507,620,769,2696,6183,8064,8452,9678,507,620,769,2696,6183,8064,8452,9678,507,620,769,2696,6183,8064,8452,9678
13783,United Arab Emirates,,C,784,Pakistan,586,37685,52745,70470,87219,171661,223834,234643,269711,37685,52745,70470,87219,171661,223834,234643,269711,37685,52745,70470,87219,171661,223834,234643,269711
13784,United Arab Emirates,,C,784,Sri Lanka,144,33077,26484,21790,22717,35622,46471,48710,55590,33077,26484,21790,22717,35622,46471,48710,55590,33077,26484,21790,22717,35622,46471,48710,55590
13786,United Arab Emirates,,C,784,Indonesia,360,23749,37682,53678,76300,129443,168903,177032,201491,23749,37682,53678,76300,129443,168903,177032,201491,23749,37682,53678,76300,129443,168903,177032,201491
13787,United Arab Emirates,,C,784,Philippines,608,24847,31900,40618,53569,105226,137220,143844,165127,24847,31900,40618,53569,105226,137220,143844,165127,24847,31900,40618,53569,105226,137220,143844,165127
13788,United Arab Emirates,,C,784,Thailand,764,654,799,992,1469,2843,3708,3884,4448,654,799,992,1469,2843,3708,3884,4448,654,799,992,1469,2843,3708,3884,4448
13790,United Arab Emirates,,C,784,Bahrain,48,173,324,492,493,730,952,997,1136,173,324,492,493,730,952,997,1136,173,324,492,493,730,952,997,1136
13791,United Arab Emirates,,C,784,Jordan,400,10602,12912,15950,22075,40824,53250,55816,63844,10602,12912,15950,22075,40824,53250,55816,63844,10602,12912,15950,22075,40824,53250,55816,63844
13792,United Arab Emirates,,C,784,Kuwait,414,3870,4780,5961,8053,15064,19648,20594,23580,3870,4780,5961,8053,15064,19648,20594,23580,3870,4780,5961,8053,15064,19648,20594,23580
13793,United Arab Emirates,,C,784,Lebanon,422,1617,1978,2452,4522,9294,12123,12707,14549,1617,1978,2452,4522,9294,12123,12707,14549,1617,1978,2452,4522,9294,12123,12707,14549
13794,United Arab Emirates,,C,784,Qatar,634,51,95,144,522,1070,1396,1461,1664,51,95,144,522,1070,1396,1461,1664,51,95,144,522,1070,1396,1461,1664
13795,United Arab Emirates,,C,784,Saudi Arabia,682,187,348,525,743,1430,1863,1952,2236,187,348,525,743,1430,1863,1952,2236,187,348,525,743,1430,1863,1952,2236
13796,United Arab Emirates,,C,784,State of Palestine,275,3402,4163,5161,6921,12930,16864,17676,20240,3402,4163,5161,6921,12930,16864,17676,20240,3402,4163,5161,6921,12930,16864,17676,20240
13797,United Arab Emirates,,C,784,Syrian Arab Republic,760,3948,4831,5990,6750,11776,15358,16098,18433,3948,4831,5990,6750,11776,15358,16098,18433,3948,4831,5990,6750,11776,15358,16098,18433
13798,United Arab Emirates,,C,784,Türkiye,792,2869,3509,4351,4881,8467,11044,11575,13255,2869,3509,4351,4881,8467,11044,11575,13255,2869,3509,4351,4881,8467,11044,11575,13255
13799,United Arab Emirates,,C,784,Yemen,887,13053,15975,19824,24985,45599,59474,62341,71385,13053,15975,19824,24985,45599,59474,62341,71385,13053,15975,19824,24985,45599,59474,62341,71385
13802,United Arab Emirates,,C,784,United Kingdom*,826,5203,4901,4930,4529,6941,9052,9487,10854,5203,4901,4930,4529,6941,9052,9487,10854,5203,4901,4930,4529,6941,9052,9487,10854
13804,United Arab Emirates,,C,784,France*,250,213,468,745,2129,4597,5996,6283,7183,213,468,745,2129,4597,5996,6283,7183,213,468,745,2129,4597,5996,6283,7183
13805,United Arab Emirates,,C,784,Netherlands*,528,831,693,604,555,830,1082,1132,1295,831,693,604,555,830,1082,1132,1295,831,693,604,555,830,1082,1132,1295
13807,United Arab Emirates,,C,784,United States of America*,840,1006,1231,1526,1905,3465,4518,4735,5422,1006,1231,1526,1905,3465,4518,4735,5422,1006,1231,1526,1905,3465,4518,4735,5422
13828,Yemen,,C R,887,Eritrea,232,..,1048,1159,298,572,718,649,659,..,1048,1159,298,572,718,649,659,..,1048,1159,298,572,718,649,659
13829,Yemen,,C R,887,Ethiopia,231,6629,288,713,802,2587,6587,5969,6060,6629,288,713,802,2587,6587,5969,6060,6629,288,713,802,2587,6587,5969,6060
13830,Yemen,,C R,887,Somalia,706,15729,26036,29814,35655,87747,130423,118223,120021,15729,26036,29814,35655,87747,130423,118223,120021,15729,26036,29814,35655,87747,130423,118223,120021
13831,Yemen,,C R,887,South Sudan,728,..,..,..,..,..,259,234,238,..,..,..,..,..,259,234,238,..,..,..,..,..,259,234,238
13833,Yemen,,C R,887,Egypt,818,3819,3895,4263,4667,5109,3653,3310,3360,3819,3895,4263,4667,5109,3653,3310,3360,3819,3895,4263,4667,5109,3653,3310,3360
13834,Yemen,,C R,887,Sudan,729,8306,8203,9306,10047,11138,12710,11519,11694,8306,8203,9306,10047,11138,12710,11519,11694,8306,8203,9306,10047,11138,12710,11519,11694
13837,Yemen,,C R,887,Iran (Islamic Republic of),364,..,..,..,..,4,3,2,2,..,..,..,..,4,3,2,2,..,..,..,..,4,3,2,2
13839,Yemen,,C R,887,Viet Nam,704,296,..,3,..,12,7,6,6,296,..,3,..,12,7,6,6,296,..,3,..,12,7,6,6
13841,Yemen,,C R,887,Iraq,368,2200,2086,2491,3078,4877,4733,4289,4354,2200,2086,2491,3078,4877,4733,4289,4354,2200,2086,2491,3078,4877,4733,4289,4354
13842,Yemen,,C R,887,State of Palestine,275,1140,1473,1291,1557,1802,1831,1658,1683,1140,1473,1291,1557,1802,1831,1658,1683,1140,1473,1291,1557,1802,1831,1658,1683
13843,Yemen,,C R,887,Syrian Arab Republic,760,996,1031,1116,1216,1355,1893,1715,1741,996,1031,1116,1216,1355,1893,1715,1741,996,1031,1116,1216,1355,1893,1715,1741
14416,Belarus,,B,112,Ethiopia,231,..,1,1,1,1,1,..,..,..,1,1,1,1,1,..,..,..,1,1,1,1,1,..,..
14418,Belarus,,B,112,Algeria,12,3,6,9,9,9,9,7,7,3,6,9,9,9,9,7,7,3,6,9,9,9,9,7,7
14421,Belarus,,B,112,Kazakhstan,398,42432,40006,37579,37066,36553,36218,35688,35269,42432,40006,37579,37066,36553,36218,35688,35269,42432,40006,37579,37066,36553,36218,35688,35269
14422,Belarus,,B,112,Kyrgyzstan,417,3165,2984,2803,2765,2727,2702,2661,2630,3165,2984,2803,2765,2727,2702,2661,2630,3165,2984,2803,2765,2727,2702,2661,2630
14423,Belarus,,B,112,Tajikistan,762,3251,3065,2879,2840,2801,2774,2732,2700,3251,3065,2879,2840,2801,2774,2732,2700,3251,3065,2879,2840,2801,2774,2732,2700
14424,Belarus,,B,112,Turkmenistan,795,3277,3090,2902,2863,2823,2797,2755,2723,3277,3090,2902,2863,2823,2797,2755,2723,3277,3090,2902,2863,2823,2797,2755,2723
14425,Belarus,,B,112,Uzbekistan,860,8947,8417,7924,7805,7707,7636,7523,7435,8947,8417,7924,7805,7707,7636,7523,7435,8947,8417,7924,7805,7707,7636,7523,7435
14427,Belarus,,B,112,Dem. People's Republic of Korea,408,53,48,43,42,40,41,39,38,53,48,43,42,40,41,39,38,53,48,43,42,40,41,39,38
14428,Belarus,,B,112,Mongolia,496,56,93,130,125,119,125,122,120,56,93,130,125,119,125,122,120,56,93,130,125,119,125,122,120
14429,Belarus,,B,112,Republic of Korea,410,8,12,15,15,14,15,13,13,8,12,15,15,14,15,13,13,8,12,15,15,14,15,13,13
14431,Belarus,,B,112,Afghanistan,4,34,64,93,89,85,90,87,86,34,64,93,89,85,90,87,86,34,64,93,89,85,90,87,86
14432,Belarus,,B,112,India,356,3,6,9,9,9,9,7,7,3,6,9,9,9,9,7,7,3,6,9,9,9,9,7,7
14433,Belarus,,B,112,Iran (Islamic Republic of),364,3,7,10,10,10,10,8,8,3,7,10,10,10,10,8,8,3,7,10,10,10,10,8,8
14434,Belarus,,B,112,Pakistan,586,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
14436,Belarus,,B,112,Viet Nam,704,75,138,201,193,184,194,190,188,75,138,201,193,184,194,190,188,75,138,201,193,184,194,190,188
14438,Belarus,,B,112,Armenia,51,2688,2534,2380,2348,2315,2294,2259,2233,2688,2534,2380,2348,2315,2294,2259,2233,2688,2534,2380,2348,2315,2294,2259,2233
14439,Belarus,,B,112,Azerbaijan,31,6692,6310,5927,5846,5765,5712,5627,5561,6692,6310,5927,5846,5765,5712,5627,5561,6692,6310,5927,5846,5765,5712,5627,5561
